Grantee Name,Grant Number,Program Name,City,State,ZIP Code,County,Congressional District,Award Fiscal Year,Award Funding
East Jordan Family Health Center,H8DCS35598,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",East Jordan,MI,49727-9383,Charlevoix,MI-01,2020,"$638,300.00"
East Jordan Family Health Center,H8ECS38568,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),East Jordan,MI,49727-9383,Charlevoix,MI-01,2020,"$221,269.00"
"East Liberty Family Health Care Center, Inc.",H8CCS35217,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Pittsburgh,PA,15206-3053,Allegheny,PA-18,2020,"$61,959.00"
"East Liberty Family Health Care Center, Inc.",H8DCS36646,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Pittsburgh,PA,15206-3053,Allegheny,PA-18,2020,"$742,580.00"
"East Liberty Family Health Care Center, Inc.",H8ECS38160,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Pittsburgh,PA,15206-3053,Allegheny,PA-18,2020,"$245,194.00"
East Tennessee State University,H8CCS35311,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Johnson City,TN,37614-6503,Washington,TN-01,2020,"$62,041.00"
East Tennessee State University,H8DCS36187,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Johnson City,TN,37614-6503,Washington,TN-01,2020,"$705,320.00"
East Tennessee State University,H8ECS38963,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Johnson City,TN,37614-6503,Washington,TN-01,2020,"$192,454.00"
East Texas Border Health Clinic,H8CCS35256,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Marshall,TX,75670-3005,Harrison,TX-01,2020,"$86,176.00"
East Texas Border Health Clinic,H8DCS36505,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Marshall,TX,75670-3005,Harrison,TX-01,2020,"$1,303,115.00"
East Texas Border Health Clinic,H8ECS38245,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Marshall,TX,75670-3005,Harrison,TX-01,2020,"$739,879.00"
"East Texas Community Health Services, Inc.",H8CCS35267,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Nacogdoches,TX,75961-6488,Nacogdoches,TX-01,2020,"$66,456.00"
"East Texas Community Health Services, Inc.",H8DCS36422,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Nacogdoches,TX,75961-6488,Nacogdoches,TX-01,2020,"$771,800.00"
"East Texas Community Health Services, Inc.",H8ECS38000,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Nacogdoches,TX,75961-6488,Nacogdoches,TX-01,2020,"$232,159.00"
EAST VALLEY COMMUNITY HEALTH CENTER INC,H8CCS34078,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),West Covina,CA,91790-3001,Los Angeles,CA-32,2020,"$88,518.00"
EAST VALLEY COMMUNITY HEALTH CENTER INC,H8DCS35593,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",West Covina,CA,91790-3001,Los Angeles,CA-32,2020,"$1,176,695.00"
EAST VALLEY COMMUNITY HEALTH CENTER INC,H8ECS38307,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),West Covina,CA,91790-3001,Los Angeles,CA-32,2020,"$508,879.00"
"EASTERN ALEUTIAN TRIBES, INC.",H8CCS33968,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Anchorage,AK,99503-3949,Anchorage,AK-00,2020,"$54,158.00"
"EASTERN ALEUTIAN TRIBES, INC.",H8DCS35397,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Anchorage,AK,99503-3949,Anchorage,AK-00,2020,"$565,490.00"
"EASTERN ALEUTIAN TRIBES, INC.",H8ECS38430,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Anchorage,AK,99503-3949,Anchorage,AK-00,2020,"$131,104.00"
Eastern Iowa Health Center,H8CCS34755,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Cedar Rapids,IA,52403-4009,Linn,IA-01,2020,"$62,665.00"
Eastern Iowa Health Center,H8DCS36052,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Cedar Rapids,IA,52403-4009,Linn,IA-01,2020,"$771,275.00"
Eastern Iowa Health Center,H8ECS37773,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Cedar Rapids,IA,52403-4009,Linn,IA-01,2020,"$301,084.00"
"Eastern Shore Rural Health System, Incorporated",H8CCS34323,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Onancock,VA,23417-1331,Accomack,VA-02,2020,"$81,224.00"
"Eastern Shore Rural Health System, Incorporated",H8DCS36733,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Onancock,VA,23417-1331,Accomack,VA-02,2020,"$1,152,305.00"
"Eastern Shore Rural Health System, Incorporated",H8ECS38348,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Onancock,VA,23417-1331,Accomack,VA-02,2020,"$573,139.00"
Eastport Health Care Inc,H8CCS34378,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Eastport,ME,04631-1306,Washington,ME-02,2020,"$54,661.00"
Eastport Health Care Inc,H8DCS36314,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Eastport,ME,04631-1306,Washington,ME-02,2020,"$593,165.00"
Eastport Health Care Inc,H8ECS39011,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Eastport,ME,04631-1306,Washington,ME-02,2020,"$158,014.00"
Eau Claire Cooperative Health Center,H8CCS34913,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Columbia,SC,29204-1800,Richland,SC-06,2020,"$110,318.00"
Eau Claire Cooperative Health Center,H8DCS36259,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Columbia,SC,29204-1800,Richland,SC-06,2020,"$1,750,085.00"
Eau Claire Cooperative Health Center,H8ECS38487,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Columbia,SC,29204-1800,Richland,SC-06,2020,"$1,020,949.00"
"ECHO COMMUNITY HEALTH CARE, INC.",H8CCS34338,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Evansville,IN,47713-1252,Vanderburgh,IN-08,2020,"$68,390.00"
"ECHO COMMUNITY HEALTH CARE, INC.",H8DCS35672,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Evansville,IN,47713-1252,Vanderburgh,IN-08,2020,"$850,550.00"
"ECHO COMMUNITY HEALTH CARE, INC.",H8ECS38727,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Evansville,IN,47713-1252,Vanderburgh,IN-08,2020,"$323,314.00"
"Edward M. Kennedy Community Health Center, Inc.",H8CCS34361,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Worcester,MA,01605-2060,Worcester,MA-02,2020,"$87,026.00"
"Edward M. Kennedy Community Health Center, Inc.",H8DCS35450,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Worcester,MA,01605-2060,Worcester,MA-02,2020,"$1,197,470.00"
"Edward M. Kennedy Community Health Center, Inc.",H8ECS38346,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Worcester,MA,01605-2060,Worcester,MA-02,2020,"$529,324.00"
El Centro Del Barrio,H8CCS35264,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),San Antonio,TX,78221-3117,Bexar,TX-23,2020,"$171,063.00"
El Centro Del Barrio,H8DCS36460,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",San Antonio,TX,78221-3117,Bexar,TX-23,2020,"$2,649,500.00"
El Centro Del Barrio,H8ECS38384,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),San Antonio,TX,78221-3117,Bexar,TX-23,2020,"$1,547,164.00"
EL CENTRO DEL CORAZON,H8CCS35341,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Houston,TX,77011-1019,Harris,TX-29,2020,"$74,753.00"
EL CENTRO DEL CORAZON,H8DCS36433,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Houston,TX,77011-1019,Harris,TX-29,2020,"$907,595.00"
EL CENTRO DEL CORAZON,H8ECS37829,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Houston,TX,77011-1019,Harris,TX-29,2020,"$292,999.00"
EL CENTRO FAMILY HEALTH,H8CCS35013,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Espanola,NM,87532-2618,Rio Arriba,NM-03,2020,"$66,544.00"
EL CENTRO FAMILY HEALTH,H8DCS36378,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Espanola,NM,87532-2618,Rio Arriba,NM-03,2020,"$872,435.00"
EL CENTRO FAMILY HEALTH,H8ECS38271,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Espanola,NM,87532-2618,Rio Arriba,NM-03,2020,"$385,654.00"
El Dorado County Community Health Center,H8CCS34488,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Placerville,CA,95667-6287,El Dorado,CA-04,2020,"$57,703.00"
El Dorado County Community Health Center,H8DCS35636,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Placerville,CA,95667-6287,El Dorado,CA-04,2020,"$687,860.00"
El Dorado County Community Health Center,H8ECS38093,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Placerville,CA,95667-6287,El Dorado,CA-04,2020,"$275,809.00"
"El Proyecto Del Barrio, Inc.",H8CCS34492,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Arleta,CA,91331-6401,Los Angeles,CA-29,2020,"$89,231.00"
"El Proyecto Del Barrio, Inc.",H8DCS35652,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Arleta,CA,91331-6401,Los Angeles,CA-29,2020,"$1,281,185.00"
"El Proyecto Del Barrio, Inc.",H8ECS38374,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Arleta,CA,91331-6401,Los Angeles,CA-29,2020,"$641,764.00"
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",H8CCS34672,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Tucson,AZ,85745-2819,Pima,AZ-03,2020,"$143,577.00"
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",H8DCS35445,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Tucson,AZ,85745-2819,Pima,AZ-03,2020,"$2,582,630.00"
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.",H8ECS38415,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Tucson,AZ,85745-2819,Pima,AZ-03,2020,"$1,801,774.00"
"ELAINE ELLIS CENTER OF HEALTH, INC.",H8CCS34689,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Washington,DC,20019-2010,District of Columbia,DC-98,2020,"$52,462.00"
"ELAINE ELLIS CENTER OF HEALTH, INC.",H8DCS35965,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Washington,DC,20019-2010,District of Columbia,DC-98,2020,"$556,670.00"
"ELAINE ELLIS CENTER OF HEALTH, INC.",H8ECS37856,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Washington,DC,20019-2010,District of Columbia,DC-98,2020,"$165,424.00"
ELICA HEALTH CENTERS,H8CCS34041,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),West Sacramento,CA,95691-3737,Yolo,CA-06,2020,"$69,768.00"
ELICA HEALTH CENTERS,H8DCS35788,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",West Sacramento,CA,95691-3737,Yolo,CA-06,2020,"$982,610.00"
ELICA HEALTH CENTERS,H8ECS38341,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),West Sacramento,CA,95691-3737,Yolo,CA-06,2020,"$612,379.00"
ELLIS COUNTY COALITION FOR HEALTH OPTIONS,H8CCS35328,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Waxahachie,TX,75165-3660,Ellis,TX-06,2020,"$66,448.00"
ELLIS COUNTY COALITION FOR HEALTH OPTIONS,H8DCS36461,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Waxahachie,TX,75165-3660,Ellis,TX-06,2020,"$770,135.00"
ELLIS COUNTY COALITION FOR HEALTH OPTIONS,H8ECS37768,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Waxahachie,TX,75165-3660,Ellis,TX-06,2020,"$229,534.00"
"EMPOWER U, INCORPORATED",H8CCS35043,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Miami,FL,33147-4909,Miami-Dade,FL-24,2020,"$54,928.00"
"EMPOWER U, INCORPORATED",H8DCS36116,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Miami,FL,33147-4909,Miami-Dade,FL-24,2020,"$588,935.00"
"EMPOWER U, INCORPORATED",H8ECS37834,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Miami,FL,33147-4909,Miami-Dade,FL-24,2020,"$136,714.00"
ENTERPRISE VALLEY MEDICAL CLINIC,H8CCS34950,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Enterprise,UT,84725,Washington,UT-02,2020,"$52,524.00"
ENTERPRISE VALLEY MEDICAL CLINIC,H8DCS35882,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Enterprise,UT,84725,Washington,UT-02,2020,"$544,385.00"
ENTERPRISE VALLEY MEDICAL CLINIC,H8ECS38215,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Enterprise,UT,84725,Washington,UT-02,2020,"$125,209.00"
"ERIE FAMILY HEALTH CENTER, INC.",H8CCS34419,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Chicago,IL,60622-5646,Cook,IL-05,2020,"$141,129.00"
"ERIE FAMILY HEALTH CENTER, INC.",H8DCS36294,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Chicago,IL,60622-5646,Cook,IL-05,2020,"$2,265,530.00"
"ERIE FAMILY HEALTH CENTER, INC.",H8ECS37880,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Chicago,IL,60622-5646,Cook,IL-05,2020,"$1,328,134.00"
"ERIE, COUNTY OF",H8CCS34897,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Sandusky,OH,44870-1849,Erie,OH-09,2020,"$55,004.00"
"ERIE, COUNTY OF",H8DCS36691,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Sandusky,OH,44870-1849,Erie,OH-09,2020,"$603,560.00"
"ERIE, COUNTY OF",H8ECS38563,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Sandusky,OH,44870-1849,Erie,OH-09,2020,"$186,079.00"
"Escambia Community Clinics, Inc.",H8CCS35062,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Pensacola,FL,32505-7552,Escambia,FL-01,2020,"$100,581.00"
"Escambia Community Clinics, Inc.",H8DCS36000,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Pensacola,FL,32505-7552,Escambia,FL-01,2020,"$1,522,295.00"
"Escambia Community Clinics, Inc.",H8ECS38290,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Pensacola,FL,32505-7552,Escambia,FL-01,2020,"$915,709.00"
"Esperanza Health Center, Inc.",H8CCS35216,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Philadelphia,PA,19140-2319,Philadelphia,PA-02,2020,"$62,359.00"
"Esperanza Health Center, Inc.",H8DCS36652,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Philadelphia,PA,19140-2319,Philadelphia,PA-02,2020,"$771,950.00"
"Esperanza Health Center, Inc.",H8ECS38942,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Philadelphia,PA,19140-2319,Philadelphia,PA-02,2020,"$320,389.00"
Esperanza Health Centers,H8CCS34456,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Chicago,IL,60608-2884,Cook,IL-04,2020,"$80,796.00"
Esperanza Health Centers,H8DCS36121,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Chicago,IL,60608-2884,Cook,IL-04,2020,"$1,081,430.00"
Esperanza Health Centers,H8ECS38413,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Chicago,IL,60608-2884,Cook,IL-04,2020,"$504,679.00"
"EXCELTH, INCORPORATED",H8CCS35115,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),New Orleans,LA,70112-4520,Orleans,LA-02,2020,"$63,729.00"
"EXCELTH, INCORPORATED",H8DCS35769,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",New Orleans,LA,70112-4520,Orleans,LA-02,2020,"$740,855.00"
"EXCELTH, INCORPORATED",H8ECS38275,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),New Orleans,LA,70112-4520,Orleans,LA-02,2020,"$223,879.00"
EZRA MEDICAL CENTER,H8CCS35172,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Brooklyn,NY,11218-3612,Kings,NY-10,2020,"$66,216.00"
EZRA MEDICAL CENTER,H8DCS36579,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Brooklyn,NY,11218-3612,Kings,NY-10,2020,"$949,580.00"
EZRA MEDICAL CENTER,H8ECS38312,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Brooklyn,NY,11218-3612,Kings,NY-10,2020,"$507,874.00"
"EZRAS CHOILIM HEALTH CENTER, INC.",H8CCS35166,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Monroe,NY,10950-2923,Orange,NY-18,2020,"$64,308.00"
"EZRAS CHOILIM HEALTH CENTER, INC.",H8DCS36548,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Monroe,NY,10950-2923,Orange,NY-18,2020,"$890,615.00"
"EZRAS CHOILIM HEALTH CENTER, INC.",H8ECS37970,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Monroe,NY,10950-2923,Orange,NY-18,2020,"$491,704.00"
Fair Haven Community Health Clinic Inc,H8CCS34655,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),New Haven,CT,06513-3733,New Haven,CT-03,2020,"$68,836.00"
Fair Haven Community Health Clinic Inc,H8DCS35971,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",New Haven,CT,06513-3733,New Haven,CT-03,2020,"$879,590.00"
Fair Haven Community Health Clinic Inc,H8ECS38515,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),New Haven,CT,06513-3733,New Haven,CT-03,2020,"$360,094.00"
"FAIRFAX MEDICAL FACILITIES, INC.",H8CCS34140,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Fairfax,OK,74637-3023,Osage,OK-03,2020,"$56,896.00"
"FAIRFAX MEDICAL FACILITIES, INC.",H8DCS35587,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Fairfax,OK,74637-3023,Osage,OK-03,2020,"$646,445.00"
"FAIRFAX MEDICAL FACILITIES, INC.",H8ECS37988,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Fairfax,OK,74637-3023,Osage,OK-03,2020,"$196,069.00"
FAIRFIELD COMMUNITY HEALTH CENTER,H8CCS34871,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Lancaster,OH,43130-4056,Fairfield,OH-15,2020,"$55,886.00"
FAIRFIELD COMMUNITY HEALTH CENTER,H8DCS36680,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Lancaster,OH,43130-4056,Fairfield,OH-15,2020,"$628,670.00"
FAIRFIELD COMMUNITY HEALTH CENTER,H8ECS38912,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Lancaster,OH,43130-4056,Fairfield,OH-15,2020,"$211,699.00"
Family and Medical Counseling Service Inc,H8CCS34661,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Washington,DC,20020-7036,District of Columbia,DC-98,2020,"$54,398.00"
Family and Medical Counseling Service Inc,H8DCS35961,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Washington,DC,20020-7036,District of Columbia,DC-98,2020,"$583,580.00"
Family and Medical Counseling Service Inc,H8ECS38692,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Washington,DC,20020-7036,District of Columbia,DC-98,2020,"$157,804.00"
Family Care Health Centers,H8CCS34713,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Saint Louis,MO,63111-2410,St. Louis City,MO-01,2020,"$74,566.00"
Family Care Health Centers,H8DCS35930,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Saint Louis,MO,63111-2410,St. Louis City,MO-01,2020,"$981,245.00"
Family Care Health Centers,H8ECS38022,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Saint Louis,MO,63111-2410,St. Louis City,MO-01,2020,"$410,554.00"
FAMILY CENTERS INC.,H8CCS34660,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Greenwich,CT,06830-6525,Fairfield,CT-04,2020,"$52,174.00"
FAMILY CENTERS INC.,H8DCS35962,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Greenwich,CT,06830-6525,Fairfield,CT-04,2020,"$533,690.00"
FAMILY CENTERS INC.,H8ECS37851,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Greenwich,CT,06830-6525,Fairfield,CT-04,2020,"$117,649.00"
Family Christian Health Center,H8CCS35025,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Harvey,IL,60426-3556,Cook,IL-02,2020,"$63,365.00"
Family Christian Health Center,H8DCS36107,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Harvey,IL,60426-3556,Cook,IL-02,2020,"$834,950.00"
Family Christian Health Center,H8ECS38510,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Harvey,IL,60426-3556,Cook,IL-02,2020,"$373,399.00"
FAMILY FIRST HEALTH CORPORATION,H8CCS35214,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),York,PA,17401-1474,York,PA-10,2020,"$71,113.00"
FAMILY FIRST HEALTH CORPORATION,H8DCS36614,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",York,PA,17401-1474,York,PA-10,2020,"$979,100.00"
FAMILY FIRST HEALTH CORPORATION,H8ECS38733,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),York,PA,17401-1474,York,PA-10,2020,"$484,204.00"
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.",H8CCS34068,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Bell,CA,90201-1805,Los Angeles,CA-40,2020,"$75,197.00"
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.",H8DCS35709,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Bell,CA,90201-1805,Los Angeles,CA-40,2020,"$920,705.00"
"FAMILY HEALTH CARE CENTERS OF GREATER LOS ANGELES, INC.",H8ECS37891,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Bell,CA,90201-1805,Los Angeles,CA-40,2020,"$319,354.00"
"FAMILY HEALTH CARE CLINIC, INC.",H8CCS34833,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Pearl,MS,39208-4226,Rankin,MS-03,2020,"$125,534.00"
"FAMILY HEALTH CARE CLINIC, INC.",H8DCS36059,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Pearl,MS,39208-4226,Rankin,MS-03,2020,"$1,854,410.00"
"FAMILY HEALTH CARE CLINIC, INC.",H8ECS37802,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Pearl,MS,39208-4226,Rankin,MS-03,2020,"$845,629.00"
"FAMILY HEALTH CARE OF NORTHWEST OHIO, INC.",H8CCS34889,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Van Wert,OH,45891-2464,Van Wert,OH-05,2020,"$52,955.00"
"FAMILY HEALTH CARE OF NORTHWEST OHIO, INC.",H8DCS36673,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Van Wert,OH,45891-2464,Van Wert,OH-05,2020,"$568,025.00"
"FAMILY HEALTH CARE OF NORTHWEST OHIO, INC.",H8ECS38890,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Van Wert,OH,45891-2464,Van Wert,OH-05,2020,"$160,519.00"
Family Health Center Inc.,H8CCS34180,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Kalamazoo,MI,49007-2557,Kalamazoo,MI-06,2020,"$80,460.00"
Family Health Center Inc.,H8DCS35595,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Kalamazoo,MI,49007-2557,Kalamazoo,MI-06,2020,"$1,149,815.00"
Family Health Center Inc.,H8ECS38728,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Kalamazoo,MI,49007-2557,Kalamazoo,MI-06,2020,"$584,749.00"
Family Health Center of Boone County,H8CCS34696,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Columbia,MO,65203-2600,Boone,MO-04,2020,"$76,218.00"
Family Health Center of Boone County,H8DCS35925,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Columbia,MO,65203-2600,Boone,MO-04,2020,"$971,780.00"
Family Health Center of Boone County,H8ECS38587,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Columbia,MO,65203-2600,Boone,MO-04,2020,"$376,519.00"
FAMILY HEALTH CENTER OF CLARK COUNTY INC,H8CCS34307,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Jeffersonville,IN,47130-3759,Clark,IN-09,2020,"$56,066.00"
FAMILY HEALTH CENTER OF CLARK COUNTY INC,H8DCS35663,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Jeffersonville,IN,47130-3759,Clark,IN-09,2020,"$596,195.00"
FAMILY HEALTH CENTER OF CLARK COUNTY INC,H8ECS37896,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Jeffersonville,IN,47130-3759,Clark,IN-09,2020,"$140,749.00"
"Family Health Center Of Marshfield, Inc.",H8CCS34125,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Marshfield,WI,54449-5703,Wood,WI-07,2020,"$113,456.00"
"Family Health Center Of Marshfield, Inc.",H8DCS35560,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Marshfield,WI,54449-5703,Wood,WI-07,2020,"$2,003,405.00"
