Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
102324124578809,Scott Brewer for NC,Brewer for NC,153,13
650678392210581,Joe O'Reilly for Mesa School Board,Joe O'Reilly for Mesa School Board. Authorized by Joe O'Reilly.,153,2
108658730612398,Elect Martha Ptashnik,CTE Martha Ptashnik,153,2
106567907452231,Maureen A. Gottlieb For Judge,Maureen Gottlieb for Judge,153,3
99033391274,Brian Kemp,Kemp for Governor Inc,153,24
258534771339840,Republican Party of Medina County - RPMC,Republican Party of Medina County,153,12
1691293721109960,Colorado People's Action,COLORADO PEOPLE'S ACTION,152,14
101670818343460,Moms for America Action,Moms for America Action Inc.,152,2
101067888349610,Stewart for US Congress District 12,STEWART FOR DISTRICT 12,152,3
112076783764308,Mighty Ira documentary,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,152,2
105730617721072,Benny White for Pima County Recorder,Benny White for Pima County Recorder,152,4
101729838201194,Michigan Asian American Progressives,Michigan Asian American Progressives,152,3
296680801734,Dr. James Dobson's Family Talk,Dr. James Dobson's Family Talk,152,3
114132736806408,Brodey Weber for Legislature,Vote Weber,152,5
100585318107139,"Mark Alan Harrison for Constable, Harris County Precinct 5",The Mark Alan Harrison Campaign,152,10
601044246643931,Meyers for Assembly,FRIENDS OF BETH MEYERS,152,46
184454441693689,National Foundation for Infectious Diseases,National Foundation for Infectious Diseases,152,72
477871215985975,DC Business Daily,Franklin Archer,152,3
106706714469410,For AR People,For AR People,152,1
108555914302702,Alexpadrodc,Committee to Elect Alex Padro,152,1
117049596807001,Lowcountry Housing Fund,Lowcountry Housing Fund Coalition,151,6
114864793399013,Nicole Love Hendrickson for Gwinnett Chair,LOVE4GWINNETT,151,20
1429142870656310,Probate Judge Ralph Winkler,Re-Elect Judge Winkler,151,2
108190904288170,Oregon Labor Policy Network,Oregon Labor Policy Network,151,1
323521287762659,"Sean Morgan, Chico City Council",Sean Morgan for City Council 2020,151,5
101323634863440,"Jonathan Burke, RN, EMT-P, for House Rep.","Friends of Jonathan Burke, RN, EMT-P",151,4
105474881165649,Francesca Hong For Assembly,Friends of Francesca Hong,151,38
1614879331861289,Antioch Community to Save Sand Creek,"Yes on T, Antioch Community to Save Sand Creek, Sponsored by Save Mount Diablo",151,6
1297612583673865,Melanie4NHSenate,The Committee to Elect Melanie Levesque,151,4
128551641258085,Melanie Stansbury for NM,Melanie For New Mexico,151,5
113347140140158,"Elect Mike Chapman Sheriff: Jefferson County, WV",Friends of Mike Chapman for Sheriff,151,4
193930361421784,Friends of Kerry - Candidate for State Representative CT's 29th District,Friends of Kerry,151,6
100123544800892,Disme Coin Company,Byron Michael Laughlin,151,3
140438538925,Penguin Press,Penguin Random House LLC,151,6
738721752956752,Andy Holleman,VoteAndyAk,151,9
248306181862385,Live Lokai,LOKAI HOLDINGS LLC,151,42
102661701651,South Carolina Small Business Chamber of Commerce,South Carolina Small Business Chamber of Commerce,150,10
110963574081385,Byrd for MID,Larry Byrd for MID Board 2020,150,6
111416482215913,California Rifle and Pistol Association,CALIFORNIA RIFLE & PISTOL ASSOCIATION INC,150,5
110889334095494,Kentucky Chamber Political Action Committee,Kentucky Chamber PAC,150,11
570524446405979,Only Human,Only Human,150,1
172477936599541,Delegate Julian Ivey,Friends of Julian Ivey,150,2
110993090285027,Judge Lisa Sadler,Judge Lisa L. Sadler Committee,150,3
293113378272758,Vote Early NY,Vote Early NY,150,4
108933640525216,Kiran For Congress,KIRAN SREEPADA FOR CONGRESS,150,8
15041226930,Oxfam,"OXFAM AMERICA, INC.",150,8
82009427502,State Chamber of Oklahoma,We Mean Business PAC,150,33
235111640922589,Haley For House,Haley for House,150,3
1495870423961785,bullsugar.org,bullsugar.org,150,5
102406998270920,Count Every Hero,RepresentUs,150,4
939489182849039,Ruben Major,Ruben Major for Oceanside Mayor,150,6
13046377116,Senator Matt Lesser,Matt 2020,150,4
782093245218764,Qasim Rashid,RASHID FOR VA,150,40
110746927192154,Lampert for CT,Lampert 2020,150,1
2294221503978529,Judge Gina Russo,Judge Russo Committee,150,5
109825017427880,Bruce Sassmann for Rep,Bruce Sassmann Election Committee,149,1
1429742370508830,Amy Gabriel for Circuit Clerk,Friends of Amy Gabriel,149,6
78420171887,Sailors for the Sea,SAILORS FOR THE SEAINC,149,4
514193775271504,Iowa Gun Owners,Iowa Gun Owners,149,3
104515421374822,Jeanette Quick for City College Board,Jeanette Quick for College Board 2020,149,4
106591477845825,Louis Uridel Mayor For Oceanside 2020,Lou Uridel for Mayor 2020,149,6
1701899883357807,Seed Your Future,Seed Your Future,149,6
2352664024796988,Business San Jose Chamber PAC,Business San Jose Chamber PAC,149,6
105260084534118,Sue Ford 4 NH Senate,Sue Ford For Senate,149,4
111438353936052,Save La Habra,"Save La Habra, Yes on X, Sponsored by the Westridge Community Association",149,3
469720850049722,Mike Marron for State Representative,Citizens to Elect Mike Marron,149,1
131513476860958,Bridgewater Candle Company,The Bridgewater Candle Company LLC,149,5
130754972128,Williamson County Democrats,Williamson County Democratic Party,149,7
104319892920,Michigan Republican Party,"the Michigan Republican Party with regulated funds. Not authorized by any candidate or candidate's committee. 520 Seymour Ave, Lansing MI 48933",149,14
2350743765006409,Judge David Gervais,Gervais for Judge,149,3
6914357307,Moran for Kansas,"Moran for Kansas, Inc.",149,8
96491683438,"The Friends of Israel Gospel Ministry, Inc.","FRIENDS OF ISRAEL GOSPEL MINISTRY, INC, THE",148,132
312106992422,State Senator Rob Sampson,Robert C Sampson,148,8
109234287233536,McCall for Florence City Council,Chaquez Tawan Mccall,148,3
194115677277113,A21,A21 with Facebook Ad Credits,148,2
106989887371075,Vote For NKY,Vote For NKY,148,1
109838487515176,Kronovet for Rent Board,Kronovet for Rent Board,148,2
110282800817822,"Yes on A & B, Los Gatos Community Alliance","Yes on A & B, Los Gatos Community Alliance, FPPC ID #1422338",148,1
139864512734010,ACS CAN North Carolina,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK INC,148,8
109449563939515,Susan for 7th District,Friends of Susan Marie Smith,148,2
102671331487937,I Love My Freedom Store,I Love My Freedom,148,33
110657357442147,Pennoyer Yes,Supporters of SD 79,148,4
118119545051756,Kirk DeViere - NC Senate,Kirk deViere Campaign Committee,148,9
82106496620,AARP New York,AARP,148,6
457445367644351,Kordalis For Judge,Kordalis For Judge,148,24
233089576710536,Adviser Investments,Adviser Investments,147,4
320172861434974,Freedom Club,Freedom Club,147,2
187107263923,MFT 59,"Minneapolis Federation of Teachers, Local 59",147,2
102209421597507,Nancy Mace Harms,DCCC,147,3
96159580682,Maine Democratic Party,MAINE DEMOCRATIC PARTY,147,4
104251504679093,Luana ALAPA for OHA,Friends of Luana Alapa,147,16
30718122245,Nonprofit VOTE,Nonprofit VOTE,147,1
104451804746462,Javier Alvarado for National City Clerk,Javier Alvarado for City Clerk 2020,147,9
623127711683757,Debi Ross for NLR Mayor,Debi Ross for Mayor Campaign,147,1
100614208414328,Braylon Harris For U.S. Congress,Braylon Laray Anthony Harris,147,6
1118596231504678,Mike Diaz for Chula Vista City Council,Mike Diaz for Chula Vista City Council 2020,147,2
147918345434,ATPE - Association of Texas Professional Educators,ASSOCIATION OF TEXAS PROFESSIONAL EDUCATORS,147,15
108790689218537,Idaho Republican Party,Idaho Republican Party,147,5
107701174249102,Brennan & O’Donnell for Howell,Friends of Suzanne Brennan For Mayor,147,5
106209742998,Democratic Party of Santa Barbara County,SANTA BARBARA COUNTY DEMOCRATIC CENTRAL COMMITTEE FEDERAL PAC,146,2
185689148912167,Councilwoman Bethany McKenney,McKenney for County Council,146,2
7229514244,Drug Policy Alliance,DRUG POLICY ALLIANCE,146,31
665613847169285,Research Nebraska Inc.,Research Nebraska Inc.,146,12
941758572530110,State Representative Sonia Barker,SONIA BARKER FOR STATE REPRESENTATIVE,146,1
100778331787787,Rev Transcripts,Rev,146,8
110960233987097,Conservative Clergy of Color,"Conservative Clergy of Color, Inc",146,2
1513859905573707,Re-Elect Dave "Watchdog" Miner,Dave "Watchdog" Miner for School Board Campaign,146,2
304435663079126,iAmerica,SERVICE EMPLOYEES INTERNATIONAL UNION,146,1
111730003720639,The Committee to Elect Sara Dayani,The Committee to Elect Sara Dayani,146,2
307851324523,San Francisco Chronicle,Hearst Newspapers,146,7
102920146846801,Firefighters For Anaheim,"Firefighters for Anaheim, Sponsored by Anaheim Firefighters Association",146,5
107288077313031,Miller for St. Lucie County Clerk of Court - Rep.,"Michelle Miller, Republican for St. Lucie Clerk of Court",146,8
288821891175414,Neighbors for Justin Moed,Neighbors for Justin Moed,146,4
614710282017443,AJ "Tony" Smith for Franklin County Sheriff,AJ "Tony" Smith,146,9
113455633340681,Rabble Media,Rabble Mill,145,6
608325869824125,"Meron Semedar for Oakland City Council, District 3",Meron Yemane Semedar,145,4
211854142335676,Peter J. Lucido YOUR State Legislator,CTE Peter J. Lucido for Prosecutor,145,19
259701284402217,Fred Parry,Boone County For Fred Parry,145,1
1504244649711873,The Right Time,Power to Decide,145,72
111797416942615,Vote for Roads,Vote for Roads. Vote for Issue 1,145,14
261591204011446,Bob Roth for Colorado SD26,Bob Roth For Colorado,145,3
725736457444853,American Encore,American Encore,145,16
441381813042465,Boundary Waters Action Fund,Boundary Waters Action Fund,145,2
100882698410683,Pete Constant Roseville High School District,Constant for School Board 2020,145,2
198619983641442,Somerset County GOP,The Somerset County Republican Executive Committee,145,4
778781548983248,"Rezny Wealth Management, Inc.","Rezny Wealth Management, Inc.",144,1
107420360824728,Josh Gary for State Senate,Josh Gary for West Virginia,144,4
112658390566033,Yes on 444,Yes for Phoenix,144,3
38234604057,PEN America,PEN America with Facebook ad credits,144,4
439884863155499,Protect Democracy,PROTECT DEMOCRACY PROJECT,144,3
113796806675005,Better Savannah,Better Savannah,144,11
105920851025632,Rachel Saltzman Friedland,"Rachel Saltzman Friedland, Non-Partisan, for Aventura City Commissioner Seat 5",144,9
330939216944508,Nikki Setzler for Senate,Nikki Setzler for South Carolina Senate,144,7
109813627328266,Judge Jaimie Goodman,"Jaimie Goodman for 15th Judicial Circuit Court Judge, Group 30.",144,8
143195412381888,"Georgia Gun Owners, Inc.",Georgia Gun Owners,144,2
205621160218305,Dr. Luis M. Irizarry Pabón 2020,Dr. Luis M. Irizarry Pabón 2020,144,17
105850687939568,NO on Question E,Portland Homeowners and Tenants Coalition,144,8
103630801488670,Sunshine Fund,Sunshine Fund PAC,144,1
1558042497785635,Beth Van Duyne,BETH VAN DUYNE FOR CONGRESS,144,3
1842493599202286,Kevin Anderson for Hennepin County,Anderson For Commissioner,144,2
111340097314280,Dr. Xiao for RRISD,Jun Xiao,144,4
991047617655265,Zach Mako for State Representative,Mako for PA,144,4
152639512112687,Larry Groh Jr. 2020,Groh 2020,143,4
1330479033723850,Sara Bitter,Sara Bitter for Better Ohio,143,3
50711561090,Muslim Advocates,MUSLIM ADVOCATES,143,3
241994476248897,Wild Minimalist,Wild Minimalist,143,208
2138174896406024,Chase Turner for State Rep HD38,Vote Chase Turner Committee,143,4
112775907081904,Nick Dodson for Sangamon County Board,Nick Dodson Campaign 2020,143,2
115176305201,"Louisville Urban League, Inc.",URBAN LEAGUE OF LOUISVILLE,143,4
101242881236945,Kunkel for Congress,KUNKEL FOR CONGRESS,143,3
159164367581855,Senator Chip Campsen,Campsen for Senate,143,7
100258504855920,Matt Mowers for Congress,MOWERS FOR CONGRESS,143,14
1434928716804407,Paul Evans,Friends of Paul Evans,143,3
160749093954292,Becker Friedman Institute for Economics,Becker Friedman Institute for Economics at the University of Chicago,143,1
118667809901,Rep. Tom Demmer,Team Demmer,143,2
781984948666515,Tim O'Neal for State Representative,Friends of Tim O'Neal,143,17
100572288259626,Judge Kim Burke,Keep Judge Kim Burke Committee,143,2
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,143,4
642438126380586,Cherisse Sweeney for Mayor of San Luis Obispo 2020,Cherisse Sweeney for Mayor 2020,143,4
321275377976909,The People's Lobby,The People's Lobby,142,4
47710973068,Cooperative Action Network,National Rural Electric Cooperatives Association,142,17
286781440146,National Right to Life,"NATIONAL RIGHT TO LIFE COMMITTEE, INC.",142,1
711909245654048,National Police Support Fund,National Police Support Fund,142,3
8686764758,UC Santa Cruz,UC Santa Cruz,142,1
2232116060366752,Senator Mary Ware,"Ware for Kansas, Tom James Treasure,",142,10
352417305173563,Mari Manoogian,Friends of Mari Manoogian,142,11
102608248261514,Yes For One Mill,"Citizens for Strong Schools, 8802 SW 38th Ave., Gainesville, FL 32608",142,4
106204300783982,Judge Tacie Zelhart,Tacie Marie Zelhart,142,2
106051754332151,Jeanine McGee for State Rep,Friends of Jeanine McGee,142,2
116937739711049,Steve Diamond for Supervisor,Steve Diamond for Supervisor,142,21
117503270075188,Bice Has Failed Us,DCCC,142,6
111945553601129,Trump2020 Coffee,Trump2020 Coffee,142,1
114034357115725,Protect Our Services,Chicago Federation of Labor,142,45
295819367185010,Fight For 15 Chicago,Fight for $15,142,8
215616835406,Accel Research Sites,Accel Research Sites,142,1
107585021025692,JR Fruen for Cupertino City Council,J.R. Fruen for Cupertino City Council 2020,142,2
103218576421422,GirlTrek: Healthy Black Women and Girls,GirlTrek,142,63
304796322926038,Bryan Posthumus for State Representative,Friends of Bryan Posthumus,142,6
104346771140701,Kevin O'Connor for US Senate,Kevin O’Connor for US Senate,142,6
5887538795,Education Week,Education Week,142,25
1832886850292310,Josh McLaurin,"Friends of Josh McLaurin, Inc.",142,11
121124497909191,Native Vote,NATIONAL CONGRESS OF AMERICAN INDIANS OF THE UNITED STATES AND ALASKA INC,141,3
546643589052271,Sarah Godlewski,Sarah for Wisconsin,141,31
869949749782821,Friends of Mike Osburn,Friends of Mike Osburn,141,6
207093836515794,Claxton for Maine Senate,Claxton For Maine Senate,141,2
106030597923014,Annette Glenn Truth,Friends of Sarah Schulz,141,3
105380351292143,Team Kawa,Abraham None Kawa,141,14
110327550477501,Imagine Justice Los Angeles,Imagine Justice PAC,141,4
286178985386108,Pat Finn for Judge,Committee to Elect Pat Finn,141,1
115601629985586,Rima for Judge,Rima for Judge,141,5
710388079321955,Working Families for a Strong Benicia,Working Families for a Strong Benicia,141,8
1402473073196615,Ray Russell,Ray Russell for NC,141,2
102855827791693,Nancy Millan for Hillsborough County Tax Collector,CAMPAIGN TO ELECT NANCY MILLAN,141,11
103506984656639,Scott Franklin for Congress,SCOTT FRANKLIN FOR CONGRESS,141,3
114937555342547,Seth Abramson,Macmillan Publishing,141,1
1746984515376877,Missouri Forward,Missouri Forward PAC,140,1
102373371457048,Scott Hefner for Mt Juliet District 3 City Commissioner,CAMPAIGN TO ELECT SCOTT HEFNER,140,10
284931251694882,Make Good Decisions,Indiana Youth Services Association,140,7
109005437176705,Dr. Rachael Morocco For Ohio,Friends of Rachael Morocco,140,7
286349441428856,University of Maine School of Law,University of Maine School of Law,140,3
108383240984145,YES on V for MPC,"Friends of MPC – Yes on V, committee major funding from MPC Foundation",140,7
105490641044894,Spencer Wetmore,Spencer Wetmore for Statehouse,140,1
371380326923893,Terra Lawson-Remer for San Diego County Board of Supervisors - District 3,Terra Lawson-Remer for SD Board of Supervisors 2020,140,26
108283897257747,Keeley Blanchard for Judge,Committee to Elect Keeley Blanchard,140,8
656263988182462,Bill Hagerty,TEAM HAGERTY,139,11
114274493350512,Georgia Alliance for Community Hospitals,Georgia Alliance for Community Hospitals,139,12
67518500519,Mississippi Center for Public Policy,Mississippi Center for Public Policy,139,3
657728170994230,Andy Matthews,Andy For Nevada,139,4
1965338130412445,Celadon Books,Celadon Books / Macmillan Publishers,139,2
106723044472557,"Brian Gutierrez for West Covina City Council, District 1",Brian Gutierrez for West Covina City Council 2020,139,3
307883109694217,Detour Detroit,Detour Media LLC,139,11
104431851438077,DC Circulator System Expansion Survey,Bayne,139,3
114569223730766,Hesperia Election Watch,Maryjane Mouangsavanh,139,6
100852478442415,Pittman For Judge,Pittman For Judge,139,1
109136650636111,Harold Hayes for State Representative,Hayes For PA,139,2
1636216106590985,Josh Hawley,JOSH HAWLEY FOR SENATE,139,2
108808274001366,Respect New Mexico,New Mexico House Republican Campaign Committee,139,8
38091883105,Republican Party of Pennsylvania,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,139,5
157410154392219,Special Operations for America,SPECIAL OPERATIONS FOR AMERICA,138,1
205164243980,Vermont Law School,Vermont Law School,138,8
101979165004922,No on Prop i,"Committee for San Francisco Economic Recovery, No on I, Sponsored by the San Francisco Chamber of Commerce Committee",138,4
358113240871900,Nuclear Energy Institute,"NUCLEAR ENERGY INSTITUTE, INC.",138,3
350410001729666,Sock Fancy,Sock Fancy,138,20
109481350627335,Kamal for Iowa 2020,Kamal Hammouda For Iowa House,138,1
566758420188176,Medical Society Consortium on Climate & Health,The Medical Society Consortium on Climate & Health,138,8
73322654866,ENjEN DESIGN,ENjEN DESIGN LLC,137,8
100333170022077,ACLU of Tennessee,AMERICAN CIVIL LIBERTIES UNION,137,3
1970500023161948,New Friends PAC,New Friends PAC,137,2
583715925012376,Mayor Trent Staggs,Staggs for Mayor,137,20
438939036556683,Brenda Falusi for State Representative - 8th District,Brenda 2020,137,1
205001842946196,"Samuel Rivers, Jr. for SC House of Representatives",Samuel Rivers for House,137,12
111939140516635,Independent Professionals Association,Independent Professionals Assocation,137,28
131018418169,Ohio Oil and Gas Energy Education Program,Ohio Oil and Gas Energy Education Program,137,2
158002573510,Americans for Prosperity-Nebraska,AMERICANS FOR PROSPERITY,137,14
94595460445,Personal PAC,PERSONAL PAC INC,137,6
111386870392047,Friends of Adrienne Southworth KY Senate 7th,Adrienne Southworth for KY Senate,137,2
120137368013775,Puget Sound Energy,"PUGET SOUND ENERGY, INC.",136,11
355928381143213,Pre-K 4 SA,Pre-K 4 SA,136,6
280792781023,Marc Lombardo,Representative Marc Lombardo,136,3
106730817585854,Ben Nadig for Judge,Committee to Elect Ben Nadig,136,51
104784143701,Al Lawson for Congress,AL LAWSON FOR CONGRESS,136,13
105619937447910,Manu for Supervisor,Manu Koenig for Santa Cruz County Supervisor 2020,136,17
100160148507407,Moe Taxes,CAWTHORN FOR NC,136,11
485233530062,Donald Rosier,Rosier for HD25,136,4
1546952572205770,UAE USA United,The Embassy of the United Arab Emirates,136,3
111533450407815,Elena Iacovangelo Cariola,Friends of Elena Cariola,136,4
96472420073,Moment Magazine,Moment Magazine,136,1
126096064096536,David Wheeler,Elect Dave Wheeler,136,3
1492028191058629,Chris Garcia,Friends for Chris Garcia Cudahy City Council 2017,136,3
1416776665285641,Idaho Mining Association,MIDAS GOLD CORP,136,42
141653865934579,Citizens for Judge Julie A. Schafer,Citizens for Julie A Schafer,136,32
100754158398955,Ryan Miske for Eden Prairie City Council,Ryan Miske Volunteer Committee,136,24
113893130439041,GenFree,Gen Free,136,20
105160351350434,We Can't Do $22,We Can't Do 22 PAC,136,5
107837550801670,Josh Jensen for Assembly,Friends of Josh Jensen,136,2
1715262342039208,Texas Gulf Coast Area Labor Federation,"TEXAS GULF COAST AREA LABOR FEDERATION, AFL-CIO",136,3
2295062210811244,Coalition for American Veterans,COALITION FOR AMERICAN VETERANS POLITICAL ACTION COMMITTEE,136,5
101500764797503,Alexis Weik for NYS Senate,New York State Senate Republican Campaign Committee,136,6
102399064972282,Best America Joy,mabu.uk.com,135,2
1278270612273494,Christina Sappey for PA 158th,Christina Sappey for PA 158th,135,2
111309297393825,Priorities CoS,Priorities CoS,135,9
102039051630135,Yvette Herrell Es Corrupta,DCCC,135,1
267590003595370,FAIRx,Floridians for Attainable Rx,135,4
189285628396655,Vote Common Good,Vote Common Good,135,4
1640382132865600,Kim and Park Law llc,Alfonso F Rodriguez,135,7
106044521225855,Ana Maria Rodriguez for State Senate,Florida Republican Senatorial Campaign Committee,134,4
100119981671668,Blue Senate,BLUE SENATE PAC,134,17
113848123388923,David Martin For State Rep,David Martin for State Representative,134,3
111970730196550,World War Zero,AMERICAN SECURITY PROJECT,134,16
103766401438931,Veritas Voice,Veritas Voice,134,2
587409478450620,Kendall for Congress,Kendall for Congress,134,8
111234767063741,Bosworth for Judge,Committee to elect Graham Bosworth,134,6
62009756135,Adam Kinzinger,KINZINGER FOR CONGRESS,134,4
634849380483238,Bruce Lee Silverstein,Bruce Lee Silverstein City Council 2020,134,10
102581241477509,Ejforthe89th,EJ for the 89th,134,1
370383059790472,Girl Tribe Co.,Girl Tribe,134,6
100523018383357,National Federation of Christian Businesses - NFCB,National Federation of Christian Businesses Inc,134,10
276031029201666,Eddie Lorton,George Edward Lorton,134,5
109942097197511,Aleta Borrud for MN Senate,Aleta Borrud for Minnesota Senate,134,3
375984579132651,PSEG,PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,134,18
919966435010882,Sam Brown Petsonk,People for Petsonk Inc,134,4
427136560657772,"Jenni Klose, Santa Rosa City Schools Board of Education Director",Re-Elect Jenni Klose to the SRCS School Board,134,49
48944157124,John Curtis,Curtis for Congress,133,2
71387879392,"City of Mesa, Arizona Government",City of Mesa,133,1
257506964275959,Tabke for MN,Tabke for MN,133,10
141061865927340,Kids Forward,Kids Forward Inc,133,11
400433343623576,Keep My Rx,Keep My Rx,133,5
1620218254702176,The Black Women's PAC,Black Women's PAC,133,5
130576050396299,Rhodesia Ransom for Supervisor,Ransom for Supervisor 2020,133,5
112632646964046,Sara-Summer Oliphant for Pa State Representative - 39th District,Committee to Elect Sara-Summer Oliphant,133,7
102771724883079,Protect Tam District Schools,Committee to Protect Tam District High Schools 2020,133,2
449202631932231,Mike Johnson,MIKE JOHNSON FOR LOUISIANA,133,3
311394925547115,Rudy Salas for Assembly,Rudy Salas for Assembly 2020,133,2
107066711080027,"Carroll Fife for Oakland City Council, D3",Carroll Fife for City Council 2020,133,6
102809134474382,David Ryu for Los Angeles City Council,David Ryu for City Council 2020 General,133,3
102157568293997,Steve Uhring for Malibu City Council,Steve Uhring for Malibu City Council,133,13
486123405130007,100 Percent Campaign,100% Action,132,3
1418216761749862,Ortiz for AK House,Ortiz 4 AK House,132,47
299816736768175,Waukesha County Democratic Party,Waukesha County Democratic Party,132,8
379338692227120,Assemblyman Tom Lackey,Assemblyman Tom Lackey,132,4
482296511902466,Nathan Small for State House,Nathan Small for State House,132,7
111749023656141,John Paul Moran For US Congress MA-6 - R,STAND WITH JOHN PAUL MORAN,132,14
1153947761302254,Serino4NY,New York State Senate Republican Campaign Committee,132,4
107854467479594,Florida Freedom Caucus,Karl Walter Miller,132,2
106954067562044,Adela Garza for TSC,Adela Garcia Garza,132,5
646594582623475,Republican Nations,wowengraving,132,12
473927336125675,Kreative Living,Kreative Living,132,13
102564128179023,Truth to Power,TRUTH TO POWER,132,37
229242410745515,Norma Kirk-McCormick,Norma Kirk-McCormick For State Representative,132,5
123256209308158,"Kolupanowich, Koppel-Egierd, and Aziz for Monroe Twp. Board of Education",Real Solutions 4 Monroe,132,2
592347634460462,Partnership for America's Health Care Future,Partnership for America's Health Care Future,132,5
263210730984251,We Are Great Again Pac,WE ARE GREAT AGAIN PAC,132,59
682990071843813,Civil Squared,Center for the Study of Liberty,132,12
108422134346057,Yes on Measure S - Fix Our Streets,"Fair Elections for Fullerton, Yes on Measure S",132,5
249362448960808,Sanderson Farms Corporate,Sanderson Farms Corporate,132,4
1623638671194988,Senator Bill Powers,Bill Powers for TN,132,3
252938479885,Harrison County Republican Party,Harrison County Republican Central Committee,131,12
388076585284592,SalmonState,SalmonState,131,42
187362050859,Calista Corporation,CALISTA CORPORATION,131,3
100377048302107,Josh Gray for Park Board,Josh Gray for Park Board 2020,131,5
10234472029,Council on Foreign Relations,Council on Foreign Relations,131,11
137285055046,Black Warrior Riverkeeper,BLACK WARRIOR RIVERKEEPER INC,131,1
189869011117683,Constable Clint Burgess Tarrant County Precinct 7,Constable Burgess Campaign,131,8
1309343439206208,Hugh Finkelstein for Circuit Judge,Hugh Finkelstein for Circuit Judge,131,4
653217371788232,Erika Kolenich for Governor of West Virginia,Kolenich for Governor,131,2
344708079424130,Innovation for Everyone,Innovation for Everyone,131,2
231177970287531,David C. Ditzler for Mahoning County Commissioner,David Charles Ditzler,131,7
74593887556,Miami's Community Newspapers,Miami's Community Newspapers,131,20
2211536769094886,Kevin Schneider for Sheriff,Kevin Schneider for Sheriff,131,3
129286395619,New Life Mission formerly Brevard Rescue Mission,"Brevard Rescue Mission, Inc. dba New Life Mission",131,2
100376954848938,Vote Tom Rolfe,Tom Rolfe for County Commissioner,131,1
1714453962109575,Michigan Climate Action Network,Michigan Climate Action Network,131,9
1292176020793725,In God We Trust,"FINISHING STRONG MINISTRIES, INC.",131,76
101185721482040,Stephanie Anderson for Maine Senate,Stephanie Anderson for Maine Senate,130,13
172091246137859,National Association of Water Companies,National Association of Water Companies (NAWC),130,30
657708380952174,Voices of the Civil Rights Movement,Comcast,130,2
109240048802,Nassau County PBA,PATROLMENS BENEVOLENT ASSOCIATION POLICE DEPT CNTY OF NASSAU NY INC,130,6
141033266605829,Mauro Garza For Congress,Mauro Everett Garza,130,5
613472332368376,The Cicero Institute,The Cicero Institute,130,2
235814863192645,Senator Donna Soucy,Committee to Elect Donna Soucy,130,2
155806951157117,Justin Costa,Justin Costa for City Council,130,13
102054228320095,Protecting Free Markets and Main Street,Protecting Free Markets & Main Street LLC,130,18
107314800764335,Rethink Wolves,Coloradans Protecting Wildlife,130,2
105689164517877,Citizens for Raleigh,Citizens for Raleigh,130,6
16177663441,Eric Schmitt,SCHMITT FOR MISSOURI,130,4
113609467063229,Elect Tarah Toohil,The Committee to Elect Tarah Toohil,130,4
1679402428737441,Brad Buckley for Texas,Brad Buckley For Texas,129,3
134728729902219,Voter Rights Action,Voter Rights Action,129,4
721266971604614,Alex Lee for State Assembly 2020,Alex Lee for State Assembly 2020 FPPC #1418916,129,3
109885780372212,Judge Elizabeth Callan,Keep Judge Elizabeth Callan,129,2
107268617341910,Engler for Probate Judge,David Lee Engler,129,7
101151797906783,Laura Curtis for 49th District- Illinois House of Representatives,Friends for Laura Curtis,129,3
106334117471036,Anbaric,Anbaric Development Partners,129,1
101433511404945,Craig Williams for PA 160th,Friends of Craig Williams,129,2
1405124726414531,Jimmy Flannigan,Jimmy Flannigan for Austin City Council,129,6
2386704041588414,The Texan,The Texan,129,38
108640103836841,Mack Bernard for Palm Beach County Commission,"Mack Bernard, Democrat, For County Commission",129,5
1452551204988299,GoReact,Speakworks Inc,128,4
1444298848974547,Dan Helmer,Helmer for Virginia,128,13
129331453746594,Carla Nelson,Carla Nelson for Senate,128,20
376421181998,Colorado River District,Colorado River Water Conservation District,128,2
206690159663661,U.S. Congressman Vicente Gonzalez 2020,VICENTE GONZALEZ FOR CONGRESS,128,4
439294536200691,Michael Lee,Committee to Elect Michael Lee,128,1
552580508224925,Chan Zuckerberg Initiative,"CHAN ZUCKERBERG INITIATIVE, LLC",128,4
107450972620538,Girl Up,"Girl Up, United Nations Foundation",128,10
108481950849713,Keoni Souza for OHA,Friends of Keoni Souza,128,6
240290369507552,Bend the Arc Jewish Action,Bend the Arc: Jewish Action,128,1
321892122054736,Judge Reuben Young for NC Court of Appeals,Keep Judge Reuben Young,128,2
173527186326725,WellNet,WellNet Healthcare,128,8
135735244200,Friends of Judge Katarina Cook,Friends of Judge Katarina Cook,128,4
775265505942237,Representative Robin Vos,Friends and Neighbors of Robin Vos,128,18
232448764757526,Casey Goodall for Delta College Trustee,Casey Goodall for Delta College Trustee 2020,128,10
233232726827616,Mary Rabago Productions,Mary Rabago Productions,127,5
110715063853632,Vote Matt Nielsen,VoteMattNielsen,127,25
721713911275923,Allen Ellison For Congress,Allen Ellison for Congress,127,4
115133956540639,Adam Myron for Judge,Campaign to Elect Adam Myron for Judge,127,6
